Title:,"Time Series, Area-Averaged of Black Carbon Surface Mass Concentration monthly 0.5 x 0.625 (monthly)"
User Start Date:,2015-10-01T00:00:00Z
User End Date:,2025-10-31T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2015-10-01T00:00:00Z&endtime=2025-10-31T23:59:59Z&shape=state_dept_countries_2017/shp_103&&data=MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25%2CM2TMNXAER_5_12_4_BCSMASS&dataKeyword=Air%20quality&portal=GIOVANNI&format=json"
Fill Value (M2TMNXAER_5_12_4_BCSMASS):, 1000000000000000

time, M2TMNXAER_5_12_4_BCSMASS
2015-10-01 00:00:00,1.74017267e-09
2015-11-01 00:00:00,2.76152989e-09
2015-12-01 00:00:00,2.94695557e-09
2016-01-01 00:00:00,3.08491033e-09
2016-02-01 00:00:00,2.17321516e-09
2016-03-01 00:00:00,1.57664959e-09
2016-04-01 00:00:00,1.05985543e-09
2016-05-01 00:00:00,8.48388249e-10
2016-06-01 00:00:00,7.59264707e-10
2016-07-01 00:00:00,7.04919179e-10
2016-08-01 00:00:00,7.79262821e-10
2016-09-01 00:00:00,1.04736475e-09
2016-10-01 00:00:00,1.81253934e-09
2016-11-01 00:00:00,3.72704223e-09
2016-12-01 00:00:00,3.75347842e-09
2017-01-01 00:00:00,2.60343103e-09
2017-02-01 00:00:00,2.05366923e-09
2017-03-01 00:00:00,1.32182765e-09
2017-04-01 00:00:00,1.12746079e-09
2017-05-01 00:00:00,8.94190444e-10
2017-06-01 00:00:00,7.29134919e-10
2017-07-01 00:00:00,6.9370093e-10
2017-08-01 00:00:00,8.37321046e-10
2017-09-01 00:00:00,1.1980853e-09
2017-10-01 00:00:00,1.89002947e-09
2017-11-01 00:00:00,3.12282644e-09
2017-12-01 00:00:00,3.47046591e-09
2018-01-01 00:00:00,3.61212238e-09
2018-02-01 00:00:00,1.92623695e-09
2018-03-01 00:00:00,1.7211037e-09
2018-04-01 00:00:00,1.09323772e-09
2018-05-01 00:00:00,9.2042568e-10
2018-06-01 00:00:00,7.37979455e-10
2018-07-01 00:00:00,6.68334166e-10
2018-08-01 00:00:00,7.19484583e-10
2018-09-01 00:00:00,9.99483163e-10
2018-10-01 00:00:00,1.69274439e-09
2018-11-01 00:00:00,2.71033906e-09
2018-12-01 00:00:00,3.2987415e-09
2019-01-01 00:00:00,3.14925774e-09
2019-02-01 00:00:00,1.88978833e-09
2019-03-01 00:00:00,1.28171052e-09
2019-04-01 00:00:00,1.07339049e-09
2019-05-01 00:00:00,8.83357998e-10
2019-06-01 00:00:00,7.4200962e-10
2019-07-01 00:00:00,6.96335101e-10
2019-08-01 00:00:00,7.87347298e-10
2019-09-01 00:00:00,9.90768356e-10
2019-10-01 00:00:00,1.62559632e-09
2019-11-01 00:00:00,2.68457634e-09
2019-12-01 00:00:00,2.67690603e-09
2020-01-01 00:00:00,2.18055574e-09
2020-02-01 00:00:00,2.1605e-09
2020-03-01 00:00:00,1.38864786e-09
2020-04-01 00:00:00,1.07608567e-09
2020-05-01 00:00:00,8.77581841e-10
2020-06-01 00:00:00,7.87317822e-10
2020-07-01 00:00:00,7.99745159e-10
2020-08-01 00:00:00,7.51243734e-10
2020-09-01 00:00:00,1.14311116e-09
2020-10-01 00:00:00,1.80067261e-09
2020-11-01 00:00:00,2.9020788e-09
