Title:,"Time Series, Area-Averaged of Near surface wind speed monthly 0.25 deg. [GLDAS (monthly)"
User Start Date:,2015-10-01T00:00:00Z
User End Date:,2025-10-31T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2015-10-01T00:00:00Z&endtime=2025-10-31T23:59:59Z&shape=state_dept_countries_2017/shp_103&&data=GLDAS_NOAH025_M_2_1_Wind_f_inst&dataKeyword=Wind%20speed&portal=GIOVANNI&format=json"
Fill Value (mean_GLDAS_NOAH025_M_2_1_Wind_f_inst):, -9999

time, mean_GLDAS_NOAH025_M_2_1_Wind_f_inst
2015-10-01 00:00:00,2.1678319
2015-11-01 00:00:00,2.31569839
2015-12-01 00:00:00,2.29130912
2016-01-01 00:00:00,2.18207932
2016-02-01 00:00:00,2.58235168
2016-03-01 00:00:00,2.67087245
2016-04-01 00:00:00,3.22829819
2016-05-01 00:00:00,3.46033239
2016-06-01 00:00:00,3.404562
2016-07-01 00:00:00,3.50024533
2016-08-01 00:00:00,3.35272217
2016-09-01 00:00:00,2.76827312
2016-10-01 00:00:00,2.14710855
2016-11-01 00:00:00,2.03606343
2016-12-01 00:00:00,2.09661579
2017-01-01 00:00:00,2.28704286
2017-02-01 00:00:00,2.37684679
2017-03-01 00:00:00,2.57695007
2017-04-01 00:00:00,3.12641191
2017-05-01 00:00:00,3.15744352
2017-06-01 00:00:00,3.43644547
2017-07-01 00:00:00,3.86531806
2017-08-01 00:00:00,3.35212541
2017-09-01 00:00:00,2.42636561
2017-10-01 00:00:00,2.07839894
2017-11-01 00:00:00,2.14948821
2017-12-01 00:00:00,2.27395558
2018-01-01 00:00:00,2.14343882
2018-02-01 00:00:00,2.36510801
2018-03-01 00:00:00,2.64081216
2018-04-01 00:00:00,2.99477196
2018-05-01 00:00:00,3.36351967
2018-06-01 00:00:00,4.00757408
2018-07-01 00:00:00,4.15198469
2018-08-01 00:00:00,3.83209395
2018-09-01 00:00:00,2.8852787
2018-10-01 00:00:00,2.1567359
2018-11-01 00:00:00,2.11134243
2018-12-01 00:00:00,2.23709941
2019-01-01 00:00:00,2.346977
2019-02-01 00:00:00,2.63537788
2019-03-01 00:00:00,2.73826075
2019-04-01 00:00:00,2.96039939
2019-05-01 00:00:00,3.46710372
2019-06-01 00:00:00,3.76785445
2019-07-01 00:00:00,3.97497272
2019-08-01 00:00:00,3.54794216
2019-09-01 00:00:00,2.92903447
2019-10-01 00:00:00,2.02841473
2019-11-01 00:00:00,2.14526415
2019-12-01 00:00:00,2.35144305
2020-01-01 00:00:00,2.41571927
2020-02-01 00:00:00,2.53647709
2020-03-01 00:00:00,2.67510223
2020-04-01 00:00:00,2.93052006
2020-05-01 00:00:00,3.39309144
2020-06-01 00:00:00,3.49420691
2020-07-01 00:00:00,3.1809845
2020-08-01 00:00:00,3.60329509
2020-09-01 00:00:00,2.4707222
2020-10-01 00:00:00,2.16273594
2020-11-01 00:00:00,2.30606294
2020-12-01 00:00:00,2.24750662
2021-01-01 00:00:00,2.31189752
2021-02-01 00:00:00,2.3404963
2021-03-01 00:00:00,2.78324652
2021-04-01 00:00:00,3.06962276
2021-05-01 00:00:00,3.64109039
2021-06-01 00:00:00,3.81384397
2021-07-01 00:00:00,3.88591599
2021-08-01 00:00:00,3.37151456
2021-09-01 00:00:00,3.03286552
2021-10-01 00:00:00,2.26542139
2021-11-01 00:00:00,2.27233386
2021-12-01 00:00:00,2.29468083
2022-01-01 00:00:00,2.36312461
2022-02-01 00:00:00,2.57808471
2022-03-01 00:00:00,2.79042816
2022-04-01 00:00:00,3.18667603
2022-05-01 00:00:00,3.88385606
2022-06-01 00:00:00,3.78619719
2022-07-01 00:00:00,3.61033297
2022-08-01 00:00:00,3.43329716
2022-09-01 00:00:00,2.85065079
2022-10-01 00:00:00,2.3030293
2022-11-01 00:00:00,2.1739862
2022-12-01 00:00:00,2.31358123
2023-01-01 00:00:00,2.49383211
2023-02-01 00:00:00,2.51906967
2023-03-01 00:00:00,2.69593692
2023-04-01 00:00:00,3.01325965
2023-05-01 00:00:00,3.34120154
2023-06-01 00:00:00,4.12431335
2023-07-01 00:00:00,3.81469178
2023-08-01 00:00:00,3.75459385
2023-09-01 00:00:00,3.01703072
2023-10-01 00:00:00,2.29935789
2023-11-01 00:00:00,2.20199108
2023-12-01 00:00:00,2.32675362
2024-01-01 00:00:00,2.28337431
2024-02-01 00:00:00,2.71985483
2024-03-01 00:00:00,2.87974668
2024-04-01 00:00:00,3.3051095
2024-05-01 00:00:00,3.52072954
2024-06-01 00:00:00,3.80681515
2024-07-01 00:00:00,4.00337553
2024-08-01 00:00:00,3.23722291
2024-09-01 00:00:00,3.06449509
2024-10-01 00:00:00,2.15975833
2024-11-01 00:00:00,2.1296761
2024-12-01 00:00:00,2.41116214
2025-01-01 00:00:00,2.41783595
2025-02-01 00:00:00,2.55711126
2025-03-01 00:00:00,2.88860202
2025-04-01 00:00:00,3.22989583
2025-05-01 00:00:00,3.37467861
2025-06-01 00:00:00,3.95935559
